00005855n|Se conoce como juego sexual a los preludios del acto sexual.
00234236n|Freeciv es un videojuego de estrategia por turnos, inspirado en el juego Civilization.
00234737n|Rocket Knight Adventures es un videojuego de plataformas de scroll lateral de la era de los 16 bits programado y publicado en 1993 por Konami para la videoconsola Sega Mega Drive.
00235709n|Clock Tower es el segundo videojuego de la saga de survival horror Clock Tower, siendo lanzado para PlayStation.
00237463n|Apertura cerrada es un termino usado en el juego de Ajedrez para describir uno de los movimientos iniciales mas comunes.
00238251n|007 The World Is Not Enough es un videojuego en primera persona publicado para la videoconsola Nintendo 64.
00238511n|Condemned 2: Bloodshot es un videojuego desarrollado por Monolith Productions y publicado por Sega para Xbox 360 y PlayStation 3.
00238692n|Star Wars Battlefront: Renegade Squadron es el tercer videojuego de la saga Star Wars Battlefront.
00238715n|Happy Tree Friends: False Alarm es un videojuego basado en la serie de animacion en flash Happy Tree Friends.
00238916n|Saints Row 2 es un videojuego de accion en tercera persona publicado el 14 de octubre de 2008 para Xbox 360, PlayStation 3 y Microsoft Windows en Estados Unidos, y para el resto del mundo desde el 17 de octubre del mismo año.
00239533n|Rise of the Argonauts es un videojuego de rol desarrollado por Liquid Entertainment y publicado por Codemasters para PlayStation 3, Xbox360 y PC en 2008.
00240483n|World Basketball Manager es un juego de PC que permite tomar el cargo y manejar un equipo de baloncesto del mundo.
00241335n|El Señor de los Anillos: la batalla por la Tierra Media es un videojuego de estrategia basado en las peliculas de El Señor de los Anillos.
00241581n|Nicktoons: Attack of The Toybots es un videojuego basado en los personajes de Nickelodeon los Nicktoons, disponible para Wii, PlayStation 2, Nintendo DS y Game Boy Advance.
00241800n|Little Computer People es un videojuego de simulacion de vida programado por Activision en 1985 para Commodore 64, Amstrad CPC, Atari ST, ZX Spectrum, Apple II y Amiga.
00243211n|007 Racing es un juego que corre basado en la licencia de James Bond.
00243395n|The 3rd Birthday es un videojuego tactico de disparos en tercera persona/RPG de accion tactico de Square Enix.
00243499n|Project Zero 4 apodado popularmente como Project Zero 4 es un videojuego de survival horror, desarrollado por la compañia de videojuegos Grashopper Manufacture, del conocido y peculiar programador y artista Goichi Suda junto con la colaboracion de Tecmo,creadores de las anteriores entregas de la la saga Project Zero, para la videoconsola Wii de Nintendo.
00243950n|Maze War es un videojuego de disparos en primera persona de gran relevancia historica, aparecido entre 1973 y 1974.
00244877n|Ben 10: Protector of Earth es un videojuego de accion y aventura basado en la serie de animacion Ben 10.
00250405n|James Bond 007: Agent Under Fire es un videojuego de James Bond protagonizado por un personaje inedito en el que James se enfrenta a el villano Nigel Bloch, la villana Jackal, entre otros personajes, la historia se desarrolla en Hong Kong, Rumania, Suiza, el Mar Sur de China y el Mar Mediterraneo.
00251162n|Bomberman Kart es un videojuego de carreras diseñado para PlayStation 2 y protagonizado por los personajes de los juegos de Bomberman.
00251841n|Aliens versus Predator es un videojuego de ciencia ficcion de disparos en primera persona, lanzado para la PC y Mac en 1999.
00252109n|Puyo Pop Fever, conocido en Japon como Puyo Puyo Fever, es un videojuego de puzzles de la saga Puyo Puyo, fue el ultimo juego lanzado para Dreamcast, GameCube, PlayStation 2, Xbox, Game Boy Advance, Nintendo DS, y PlayStation Portable desarrollado por el Sonic Team.
00253004n|Donkey Kong Jungle Beat es un videojuego de aventuras para Nintendo Game Cube protagonizado por el gorila Donkey Kong.
00253588n|Deus Ex: Human Revolution, tambien conocido como Deus Ex 3, es el tercer videojuego de la serie de videojuegos de rol y accion en primera persona Deus Ex.
00253844n|Ascendancy es un juego para ordenador PC desarrollado por The Logic Factory, y reeditado en Enero de 2011 para dispositivos iOS Apple.
00255739n|Age of Empires III: The Asian Dynasties es un videojuego de estrategia en tiempo real para computadoras personales, segunda expansion del juego Age of Empires III, desarrollada por Ensemble Studios y Big Huge Games.
00259293n|Evolution Worlds es un videojuego creado por Sega, Ubisoft, Sting Entertaiment y lanzado para la consola GameCube de Nintendo en el año 2002.
00259696n|Gorkamorka es un juego de estrategia comercializado por Games Workshop y ambientado en el universo de Warhammer 40.000.
00259716n|Un videojuego para moviles es un videojuego que es desarrollado para jugarse en telefonos moviles, PDA, telefonos inteligentes y dispositivos moviles.
00260859n|Parachute es un videojuego desarrollado en 1983 por Gem International Corporation y distribuido por Home Vision para la consola Atari 2600.
00260961n|Sonic Battle es un videojuego de lucha de la serie de Sonic the Hedgehog, desarrollado por Dimps y distribuido por THQ para el Game Boy Advance.
00262160n|El acertijo del lobo, la cabra y la col es un popular juego de logica.
00263455n|Rayman Raving Rabbids 2 es un videojuego que continua con la trama planteada en Rayman Raving Rabbids.
00264043n|The Suffering es un videojuego creado por Surreal Software y Midway Games para PlayStation 2, Xbox y PC en el año 2004.
00264606n|Need for Speed: Underground es un videojuego de carreras de automoviles desarrollado y lanzado por Electronic Arts en el 2003.
00264627n|La abadia del crimen es un videojuego realizado por Opera Soft en 1987, basado en la novela El nombre de la rosa de Umberto Eco, y programado por Paco Menendez, considerado como uno de los mejores programadores de videojuegos de España en la llamada edad de oro del software español, y con graficos de Juan Delcan.
00266031n|X-COM: Enforcer es un videojuego creado por Infogrames.
00268356n|Garfield's Nightmare es un videojuego de plataformas desarrollado por Shin'en y publicado por Game Factory para Nintendo DS.
00270473n|Blazing Angels 2:Secret Missions of WWII es un videojuego del combate de vuelo del 2007 para las consolas Xbox 360, PlayStation 3 y el operador Microsoft Windows desarrollado por Ubisoft Romania y publicado por Ubisoft.
00270845n|Chronicles of Riddick: Assault on Dark Athena es un videojuego de accion en primera persona para las consolas de nueva generacion: PlayStation 3, Xbox 360 y Windows.
00272507n|Star Wars: The Clone Wars es un videojuego de Star Wars basado en los eventos posteriores a la batalla de Geonosis.
00272674n|Virtua Racing o tambien llamado V.R., es un videojuego arcade de Formula 1 que salio en recreativas en octubre de 1992, desarrollado por Sega-AM2 para su nueva nueva placa \"Model 1\".
00272685n|Hellnight, a veces llamado \"Hell Night\", y conocido en Japon como Dark Messiah, es un videojuego del genero Survival Horror con perspectiva en primera persona, distribuido y publicado por Atlus en colaboracion con Konami en 1998.
00274462n|Evolution: The Game of Intelligent Life es un videojuego de estrategia multijugador para PC desarrollado por Crossover Technologies y producido por Discovery Multimedia El juego, lanzado el 16 de noviembre de 1996, es un simulador de vida en que cada jugador comienza con un anfibio prehistorico y tienen que ir evolucionando especies nuevas, compitiendo con los otros jugadores por los habitats y por el territorio que ofrece el mundo en el que se desarrolla el juego.
00274618n|Zoo Tycoon es un videojuego de simulacion economica lanzado el 17 de octubre del 2001, donde se debe administrar un zoologico.
00276669n|Postal es un controvertido videojuego de disparos en tercera persona para PC desarrollado por Running With Scissors, Inc. y publicado por Ripcord Games en 1997.
00277970n|Sunset Riders es un videojuego de arcade creado por Konami en 1991.
00277981n|Golden Axe es un videojuego creado por la compañia SEGA en 1989.
00278610n|The Incredible Hulk es un videojuego basado en el superheroe de Marvel Hulk y en la pelicula de 2008.
00279088n|Red Dead Redemption es un videojuego no lineal de accion-aventura western desarrollado por Rockstar San Diego.
00279375n|Twilight Struggle es un juego de mesa tematico de guerra y estrategia para dos jugadores ambientado en la Guerra Fria.
00281029n|Killer7 es un videojuego de accion-aventura para las consolas Nintendo GameCube y PlayStation 2, desarrollado por Grasshopper Manufacture, publicado por Capcom y lanzado a mediados de 2005.
00282724n|Disney's Toontown Online es un videojuego de tiempo real, desarrollado por Walt Disney Internet Group.
00283752n|Super Runabout es un videojuego para Dreamcast de conduccion en formato de misiones.
00285429n|Jumping Jack es un videojuego de plataformas realizado por Albert Ball, con graficos de Stuart C.
00287310n|Nintendogs es un videojuego para Nintendo DS desarrollado por Shigeru Miyamoto, cuyo objetivo es cuidar a un perro a lo largo de su vida.
00287933n|Pro Evolution Soccer 2008 o PES 2008 es un videojuego de futbol para PlayStation 2, PlayStation 3, PC, Xbox 360, PlayStation Portable, Nintendo DS y Wii que se lanzo a la venta en el 2007.
00288000n|Smash TV es un videojuego arcade desarrollado y publicado por la empresa Williams en 1990.
00292022n|Ultima III: Exodus es el tercer juego de la serie Ultima.
00292229n|Hitman: Blood Money es el cuarto juego de la serie Hitman.
00293836n|Pac-Man Championship Edition es un videojuego de 2007 en la serie Pac-Man, desarrollado por Namco Bandai Games.
00295371n|SimCity Societies es un videojuego de construccion de ciudades es un spin-off de la saga de la serie SimCity, fue un fracaso por su nueva interfaz, considerandose mas un simulador social que un simulador de ciudades.
00295818n|Manabu Namiki es un compositor de videojuegos Japones que principalmente trabaja en el genero de los shoot em up.
00299576n|SimCity es un videojuego de construccion de ciudades, oficialmente la sexta entrega de la serie SimCity.
00300585n|Wave Race 64 es un videojuego de carreras de motos de agua desarrollado por Nintendo EAD en 1996 para la consola Nintendo 64.
00301410n|El futbol-tenis es un juego o ejercicio deportivo que combina aspectos de los dos deportes que forman su nombre.
00303605n|Freedom Fighters, originalmente titulado Freedom: The Battle For Liberty Island, es un videojuego, tipo shooter en tercera persona disponible para PlayStation 2, GameCube, PC y Xbox, que se desarrolla en un presente alternativo.
00307001n|Global Agenda es un videojuego cooperativo en linea creado por Hi-Rez Studio desarrollado usando Unreal Engine 3.
00307090n|Los juegos inaugurales del Coliseo tuvieron lugar en Roma en el año 80, bajo el mandato del emperador romano Tito, para celebrar la finalizacion de la construccion del Anfiteatro Flavio, mas tarde conocido como Coliseo.
00308055n|1080 Snowboarding es un videojuego de carreras y practica de trucos de snowboarding desarrollado y publicado por Nintendo para la Nintendo 64 y lanzado el 1 de Abril de 1998 en Estados Unidos.
00308390n|The Ignition Factor es un videojuego para Super Nintendo Entertainment System distribuido por Jaleco en America del Norte en 1995.El juego presenta bomberos en situaciones reales salvando a civiles en incendios de edificios, incidentes de mineria y accidentes industriales.
